mes,gasolina,gasoil
enero,1.222,1.176
febrero,1.258,1.222
marzo,1.291,1.246
abril,1.354,1.264
mayo,1.373,1.276
junio,1.328,1.222
julio,1.342,1.229
agosto,1.333,1.221
septiembre,1.326,1.232
octubre,1.320,1.232
noviembre,1.312,1.231
diciembre,1.314,1.231
