mes,gasolina,gasoil
enero,1.221,1.100
febrero,1.265,1.144
marzo,1.318,1.187
abril,1.329,1.186
mayo,1.355,1.210
junio,1.379,1.240
julio,1.413,1.268
agosto,1.425,1.269
septiembre,1.440,1.284
octubre,1.490,1.359
noviembre,1.518,1.386
diciembre,1.485,1.350
