mes,gasolina,gasoil
enero,1.327,1.247
febrero,1.306,1.207
marzo,1.217,1.117
abril,1.111,1.022
mayo,1.039,0.993
junio,1.132,1.027
julio,1.168,1.061
agosto,1.172,1.064
septiembre,1.172,1.043
octubre,1.165,1.031
noviembre,1.161,1.032
diciembre,1.189,1.068
